date,zone,plot,replicate,boat_weight,wet_weight,soil_wet_weight,dry_weight,soil_dry_weight,percentage_moisture,ec_us/cm,salinity_ppt
7/13/23,M,M3,A,1.9,111.6,109.7,21.3,19.4,0.823154057,10790,5.39
7/13/23,M,M4,B,2.3,37.9,35.6,18.3,16,0.550561798,1403,0.7
7/13/23,M,M4,A,2.2,88.8,86.6,17.9,15.7,0.818706697,4750,2.38
7/13/23,M,M4,C,2,108.9,106.9,20.3,18.3,0.828811974,11220,5.59
7/13/23,M,M5,C,2.2,53.1,50.9,18.6,16.4,0.677799607,1576,0.79
7/13/23,M,M5,A,2.3,97.6,95.3,22.2,19.9,0.791185729,4550,2.28
7/13/23,M,M5,B,2.6,99.3,96.7,18.7,16.1,0.833505688,7680,3.83
7/13/23,M,M6,B,2,78,76,16.3,14.3,0.811842105,5160,2.58
7/13/23,M,M6,A,2.2,73.5,71.3,16.6,14.4,0.798036466,5280,2.65
7/13/23,M,M6,C,2.2,93.1,90.9,16.9,14.7,0.838283828,5670,2.77
7/13/23,M,M7,B,2.3,66.1,63.8,21.4,19.1,0.700626959,458,0.23
7/13/23,M,M7,A,2.1,70.9,68.8,15.7,13.6,0.802325581,3880,1.9
7/13/23,M,M7,C,2.2,67.6,65.4,13.8,11.6,0.822629969,7730,3.87
7/13/23,R,R1,B,2.2,67.3,65.1,50.1,47.9,0.264208909,1180,0.06
7/13/23,R,R1,C,2.2,50.6,48.4,39,36.8,0.239669421,218,0.11
7/13/23,R,R1,A,2.3,39.1,36.8,27,24.7,0.328804348,390,0.19
7/13/23,R,R2,A,2.3,65.9,63.6,47.2,44.9,0.294025157,113.3,0.06
7/13/23,R,R2,C,2.3,35.8,33.5,20.1,17.8,0.468656716,353,0.18
7/13/23,R,R2,B,2.3,33.1,30.8,20.1,17.8,0.422077922,413,0.21
7/13/23,R,R3,C,2.2,73.1,70.9,46.6,44.4,0.373765867,190.5,0.1
7/13/23,R,R3,B,2.3,77.3,75,34.6,32.3,0.569333333,444,0.22
7/13/23,R,R3,A,2.2,44,41.8,18.3,16.1,0.614832536,590,0.3
7/13/23,R,R4,B,2.3,30,27.7,14.8,12.5,0.548736462,376,0.19
7/13/23,R,R4,C,2.3,39.7,37.4,21.6,19.3,0.483957219,578,0.29
7/13/23,R,R4,A,2.3,52.7,50.4,22.2,19.9,0.60515873,598,0.3
