id,genus,spp,tree_number,stem_number,dbh,health,alive,standing,old_plot_col,zone,plot,oldtag,dhas.1,dhas.2,notes,new_genus,new_species
Uni.spp.588.1,Uni,spp,588,1,,0,0,0,M0,M,0,,,,,Ace,rub
Pin.tae.801.1,Pin,tae,801,1,406,4,1,1,M0,M,0,,,,,,
Nys.syl.802.1,Nys,syl,802,1,,0,0,1,M0,M,0,,,,posion ivy,,
Nys.syl.803.1,Nys,syl,803,1,164,6,1,1,M0,M,0,,,,,,
Nys.syl.804.1,Nys,syl,804,1,36,1,1,1,M0,M,0,,,,,,
Ile.opa.805.1,Ile,opa,805,1,,,,,M0,M,0,,,,,,
Ile.opa.806.1,Ile,opa,806,1,86,7,1,1,M0,M,0,,,,,,
Pin.tae.807.1,Pin,tae,807,1,434,7,1,1,M0,M,0,,,,,,
Nys.syl.808.1,Nys,syl,808,1,149,0,0,1,M0,M,0,,,,,,
Jun.vir.809.1,Jun,vir,809,1,95,0,0,1,M0,M,0,,,,,,
Pin.tae.810.1,Pin,tae,810,1,408,7,1,1,M0,M,0,,,,,,
Pin.tae.811.1,Pin,tae,811,1,424,4,1,1,M0,M,0,,,,,,
Ile.opa.812.1,Ile,opa,812,1,113,6,1,1,M0,M,0,,,,,,
Ile.opa.813.1,Ile,opa,813,1,,,,,M0,M,0,,,,,,
Pin.tae.814.1,Pin,tae,814,1,,0,0,1,M0,M,0,,,,,,
Pin.tae.815.1,Pin,tae,815,1,224,4,1,1,M0,M,0,,,,,,
Pin.tae.816.1,Pin,tae,816,1,196,0,0,1,M0,M,0,,,,,,
Nys.syl.817.1,Nys,syl,817,1,108,5,1,1,M0,M,0,,,,,,
Nys.syl.818.1,Nys,syl,818,1,166,5,1,1,M0,M,0,,,,,,
Nys.syl.819.1,Nys,syl,819,1,101,5,1,1,M0,M,0,,,,,,
Nys.syl.820.1,Nys,syl,820,1,178,6,1,1,M0,M,0,,,,,,
Nys.syl.821.1,Nys,syl,821,1,114,3,1,1,M0,M,0,,,,,,
Uni.spp.822.1,Uni,spp,822,1,89,0,0,1,M0,M,0,,,,species change,Jun,vir
Pin.tae.823.1,Pin,tae,823,1,323,7,1,1,M0,M,0,,,,outside plot,,
Pin.tae.824.1,Pin,tae,824,1,282,5,1,1,M0,M,0,,,,,,
Pin.tae.825.1,Pin,tae,825,1,478,6,1,1,M0,M,0,,,,,,
Pin.tae.826.1,Pin,tae,826,1,79,3,1,1,M0,M,0,,,,species change,Jun,vir
Pin.tae.827.1,Pin,tae,827,1,355,6,1,1,M0,M,0,,,,,,
Jun.vir.828.1,Jun,vir,828,1,162,7,1,1,M0,M,0,,,,,,
Ile.opa.909.1,Ile,opa,909,1,35,0,0,1,M0,M,0,,,,species change,Jun,vir
Uni.spp.803.2,Uni,spp,803,2,103,0,0,1,M0,M,0,,,,species change,Nys,syl
Nys.syl.817.2,Nys,syl,817,2,76,4,1,1,M0,M,0,,,,,,
Nys.syl.5150.1,Nys,syl,5150,1,98,0,0,1,M0,M,0,,,,,,
Nys.syl.5150.2,Nys,syl,5150,2,62,0,0,1,M0,M,0,,,,,,
Nys.syl.486.2,Nys,syl,486,2,63,0,0,1,M0,M,0,,,,,,
Uni.spp.5860.1,Uni,spp,5860,1,165,0,0,1,M1,M,1,,,,fallen,Nys,syl
Jun.vir.829.1,Jun,vir,829,1,,0,0,0,M1,M,1,,,,,,
Pin.tae.830.1,Pin,tae,830,1,338,6,1,1,M1,M,1,,,,,,
Pin.tae.831.1,Pin,tae,831,1,391,8,1,1,M1,M,1,,,,,,
Nys.syl.832.1,Nys,syl,832,1,99,2,1,1,M1,M,1,,,,,,
